Protein.IDs, Gene.names,Function,,
YKL134C,,OCTapeptidyl aminopeptidase,,
YPR153W,,genetic interaction profile similarity to MTC Annotated Yeast genes MTC2 and MTC4,,
YMR056C,AAC1,ADP/ATP Carrier,,
YBR085W,AAC3,ADP/ATP Carrier,,
YJR155W,AAD10,Aryl-Alcohol Dehydrogenase,,
YNL331C,AAD14,Aryl-Alcohol Dehydrogenase,,
YOL165C,AAD15,Aryl-Alcohol Dehydrogenase,,
YCR107W,AAD3,Aryl-Alcohol Dehydrogenase,,
YDL243C,AAD4,Aryl-Alcohol Dehydrogenase,,
YNL141W,AAH1,Adenine AminoHydrolase,,
YHR047C,AAP1,Arginine/alanine AminoPeptidase,,
YBL074C,AAR2,A1-Alpha2 Repression,,s
YKL106W,AAT1,Aspartate AminoTransferase,,
YLR027C,AAT2,Aspartate AminoTransferase,,
YBR236C,ABD1,,,
YKL112W,ABF1,ARS-Binding Factor 1,,
YMR072W,ABF2,ARS-Binding Factor,,
YJR108W,ABM1,Aberrant Microtubules,,
YCR088W,ABP1,Actin Binding Protein,,
YOR239W,ABP140,Actin Binding Protein,,
YNR033W,ABZ1,para-AminoBenZoic acid (PABA) biosynthesis,,
YMR289W,ABZ2,para-AminoBenZoic acid (PABA) biosynthesis,,
YER045C,ACA1,ATF/CREB Activator,,
YGR037C,ACB1,Acyl-CoA-Binding,,
YNR016C,ACC1,Acetyl-CoA Carboxylase,,
YLR131C,ACE2,Activator of CUP1 Expression,,
YLR144C,ACF2,Assembly Complementing Factor,,
YJR083C,ACF4,Assembly Complementing Factor,,
YBL015W,ACH1,Acetyl CoA Hydrolase,,
YDL203C,ACK1,Activator of C Kinase 1,,
YDR161W,ACL4,Assembly Chaperone of RpL4,,
YPL267W,ACM1,APC/C[Cdh1] Modulator,,
YLR304C,ACO1,ACOnitase,,
YJL200C,ACO2,ACOnitase,,
YKL192C,ACP1,Acyl Carrier Protein,,
YAL054C,ACS1,Acetyl CoA Synthetase,,
YLR153C,ACS2,Acetyl CoA Synthetase,,
YFL039C,ACT1,ACTin,,
YDR448W,ADA2,transcriptional ADAptor,,
YMR184W,ADD37,Alpha1-proteinase inhibitor-Degradation Deficient,,
YKL206C,ADD66,Alpha1-proteinase inhibitor-Degradation Deficient,,
YAR015W,ADE1,ADEnine requiring,,
YNL220W,ADE12,ADEnine requiring,,
YLR359W,ADE13,ADEnine requiring,,
YLR028C,ADE16,ADEnine,,
YMR120C,ADE17,ADEnine,,
YOR128C,ADE2,ADEnine requiring,,
YGR204W,ADE3,ADEnine requiring,,
YMR300C,ADE4,ADEnine requiring,,
YGL234W,"ADE5,7",ADEnine requiring,,
YGR061C,ADE6,ADEnine requiring,,
YDR408C,ADE8,ADEnine requiring,,
YCL058W-A,ADF1,Antisense of Depressing Factor,,
YOL086C,ADH1,Alcohol DeHydrogenase,,
YMR303C,ADH2,Alcohol DeHydrogenase,,
YMR083W,ADH3,Alcohol DeHydrogenase,,
YGL256W,ADH4,Alcohol DeHydrogenase,,
YBR145W,ADH5,Alcohol DeHydrogenase,,
YMR318C,ADH6,Alcohol DeHydrogenase,,
YCR105W,ADH7,Alcohol DeHydrogenase,,
YMR009W,ADI1,Acireductone DIoxygenase,,
YDR226W,ADK1,ADenylate Kinase,,
YER170W,ADK2,ADenylate Kinase,,
YJR105W,ADO1,ADenOsine kinase,,
YCR011C,ADP1,ATP-Dependent Permease,,
YDR216W,ADR1,Alcohol Dehydrogenase II synthesis Regulator,,
YCR010C,ADY2,Accumulation of DYads,,
YDL239C,ADY3,Accumulation of DYads,,
YLR227C,ADY4,Accumulation of DYads,,
YMR064W,AEP1,ATPase ExPression,,
